# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
2,51,3.0,1.8073331524038459e-06,13
0,47,1.0,1.6162076081019855e-07,141
53,66,1738.0,0.0115278732551,1
1,46,2.0,8.69808589388e-08,5
3,48,4.0,3.40600967175e-07,1
26,65,74.35135135135135,0.005059650763706217,37
16,62,23.025925925925925,0.0010868426384844107,270
17,63,26.102803738317757,0.0017142796745109345,107
18,60,29.0,0.0003256867338938,5
42,65,457.0,0.00680972038179,3
27,64,83.21511627906976,0.0037428757572325584,172
0,0,1.0,1.08420217249e-19,1
24,61,59.8,0.0005762445484336,5
47,66,830.0,0.0132485081319,1
26,63,73.86486486486487,0.0021453845376248645,37
27,62,82.25,0.001197869308299125,8
37,66,266.1574074074074,0.01189359957837232,108
3,57,4.0,5.735428711712501e-05,96
8,53,9.0,4.3382221027e-06,1
50,68,1195.8,0.03630237667764857,35
5,51,6.0,1.6518681415e-06,1
35,63,209.0,0.0023299201777450002,2
6,56,7.0,2.8554121394000004e-05,6
10,55,11.0,1.36938200965e-05,1
7,61,8.0,0.000543483433953282,241
31,64,131.5897435897436,0.003780161290657179,39
14,59,18.0,0.000210638342929,1
33,65,166.19827586206895,0.006837688220191551,116
1,56,2.0,3.245610369030067e-05,429
53,68,1683.0,0.040483411774740005,20
4,57,5.0,6.058967982946809e-05,47
8,60,9.0,0.000347525132594156,186
5,60,6.0,0.00033184497381339855,444
9,57,10.0,4.46791241989e-05,1
10,62,11.0,0.0008929350300374738,57
7,58,8.0,0.00011382005075632108,19
53,67,1670.0,0.021543560102133333,3
64,69,5782.0,0.0788528685386,1
13,61,16.471698113207548,0.0006247094873859181,159
15,59,20.666666666666668,0.00020800113175050003,6
19,60,32.0,0.00034920581439733337,6
0,52,1.0,2.997515763976161e-06,474
46,68,747.2285714285714,0.02964576976677429,35
20,63,36.52450980392157,0.001899056874008333,204
1,49,2.0,5.157425598224001e-07,20
21,62,40.66,0.0011312637194641202,50
2,54,3.0,9.989104003717116e-06,52
0,42,1.0,8.195532603303334e-09,9
22,61,46.75,0.000565876661862,4
1,43,2.0,1.23069976423e-08,1
39,66,332.97849462365593,0.012053375075724947,93
36,64,236.0,0.0037316443811533334,3
49,66,1028.0,0.0109650012942,1
12,55,14.0,1.95747369115e-05,1
2,49,3.0,5.497688396618001e-07,5
32,65,148.824,0.00662949622560864,125
3,50,4.0,8.96991999783e-07,1
25,65,67.5,0.004949607174012,10
30,62,117.0,0.00129848040517,1
4,53,5.0,4.970528378885001e-06,2
31,63,133.25,0.002063952944075,4
17,61,25.82608695652174,0.0006713132390137611,46
55,67,2168.5,0.022292816867300003,2
0,2,1.0,2.16840434497e-19,1
24,63,58.826530612244895,0.0021270150562288774,98
25,62,66.66666666666667,0.0011663725228866668,6
21,64,41.13953488372093,0.0028530222763872085,43
45,67,665.9833333333333,0.022881268191563327,60
26,61,73.0909090909091,0.000578200318458909,11
0,56,1.0,3.149893321049699e-05,1744
37,64,273.0,0.004059304668553333,3
34,66,187.24468085106383,0.009883412715283936,94
3,59,4.0,0.00018864145672967215,607
33,63,172.0,0.00156206985384,1
4,60,5.0,0.00032002794115633393,512
50,66,1149.0,0.013422452932,2
5,49,6.0,3.99576350822e-07,2
9,54,10.0,9.35333956653e-06,1
6,62,7.0,0.000826395315461,1
54,68,1860.7058823529412,0.04208444920606471,17
31,66,136.4375,0.008870627028605627,16
28,64,93.49295774647888,0.00378175971614697,142
41,66,416.8857142857143,0.012604167316167144,35
14,57,19.0,4.24427263014e-05,1
15,60,20.615384615384617,0.00036954759392238454,13
46,67,744.14,0.022787058838091998,50
2,61,3.0,0.00043898657432,1
23,61,53.166666666666664,0.0005991247500358333,6
4,59,5.0,0.0001898912144506954,394
8,62,9.0,0.0008765248264350001,17
5,58,6.0,0.00010458356700430562,71
24,65,60.5,0.005117833544245,4
10,60,11.0,0.0003593993067165311,96
40,65,381.25,0.0072656665128225,4
12,58,15.0,9.7737218983675e-05,4
13,59,17.0,0.00018476304702450002,2
22,64,46.589473684210525,0.003028165699187474,95
19,62,32.50877192982456,0.0011553571872057109,114
0,54,1.0,9.740942019275299e-06,764
1,55,2.0,1.7773538364973872e-05,222
21,60,40.25,0.00030506710531475004,4
2,52,3.0,2.9421035401394736e-06,19
0,44,1.0,2.7812210447938457e-08,13
23,58,53.6,9.207494319274e-05,5
36,66,236.96026490066225,0.010908091067731532,151
29,64,104.41052631578947,0.0038596478591474723,95
16,59,23.2,0.0002055986208578,5
17,58,27.0,9.41129800937e-05,1
42,66,474.42857142857144,0.012897577720590478,21
55,68,2117.3333333333335,0.04131193548881667,6
43,66,525.25,0.012262415550465,16
24,58,59.5,9.490840200689001e-05,10
25,59,64.92857142857143,0.000191957608345,14
27,61,83.5,0.0005441445996505,2
28,62,93.0,0.0010454542153623331,9
48,67,953.5,0.021572729995112498,8
29,63,104.33333333333333,0.00215696116433,9
3,52,4.0,2.8439641693022228e-06,9
38,67,301.68,0.015859996140392005,25
4,55,5.0,1.6587293047649998e-05,4
5,54,6.0,1.1450032466975e-05,4
0,4,1.0,8.67361737988e-19,6
25,60,65.58333333333333,0.00029943072160358336,12
45,65,676.0,0.00654487176818,1
26,59,75.33333333333333,0.00019090270567133336,3
0,58,1.0,9.994968352828465e-05,1999
1,59,2.0,0.0001727955403640491,958
34,64,185.54545454545453,0.00398094527491091,11
3,61,4.0,0.0004669193459668571,14
8,57,9.0,5.715804642075e-05,4
6,60,7.0,0.00033806793415897413,346
51,68,1339.1333333333334,0.037753443862246674,30
7,57,8.0,5.327409491075715e-05,7
11,58,12.714285714285714,0.00010615695802511428,7
12,61,14.476744186046512,0.0006192216603533522,258
44,66,590.0,0.011975401893420001,9
41,64,408.0,0.00355698837693,1
14,63,18.571428571428573,0.0015496026866552378,21
15,62,20.58189655172414,0.0010751720104443315,232
56,69,2386.3333333333335,0.05497420654085555,9
19,59,33.666666666666664,0.00018731937292766667,3
0,49,1.0,5.201186020360375e-07,291
1,60,2.0,0.00025728198016675006,56
23,65,55.0,0.00472211309068,1
2,59,3.0,0.0001835770494008995,906
22,62,45.96969696969697,0.001142254058879818,33
23,63,52.0,0.0020568540103255376,121
39,65,330.2,0.006895458339939001,10
5,56,6.0,3.308644717733334e-05,9
9,61,10.0,0.0005803518522769467,264
6,55,7.0,1.741659431016667e-05,3
10,58,11.0,0.0001026241813378125,8
52,69,1463.0,0.04977539146083334,3
7,54,8.0,7.16737887982e-06,1
40,67,376.66153846153844,0.017270394069584617,65
13,57,16.0,5.69046668306e-05,1
19,64,33.55555555555556,0.002744378230722222,9
1,53,2.0,5.388214628227294e-06,85
21,58,41.0,0.000123481968006,1
2,50,3.0,1.0444329004441665e-06,6
35,64,213.375,0.00407974862221625,8
0,46,1.0,9.08636887601536e-08,69
1,47,2.0,1.66359274997e-07,3
26,64,73.84905660377359,0.0035837200919014156,212
16,61,22.8875,0.0006478792610033374,80
18,63,28.916666666666668,0.001789944532037847,144
43,68,533.0,0.0272796600889,1
24,60,59.421052631578945,0.00031340582714452626,19
47,67,838.9615384615385,0.022206370553065385,26
26,62,72.625,0.001045621382682375,8
27,63,83.64516129032258,0.0021522032378,31
37,67,272.14285714285717,0.015781981018357143,7
32,59,146.0,0.000237320274363,1
29,61,102.0,0.00059800998408,1
3,54,4.0,9.806137005805219e-06,23
38,65,295.1818181818182,0.006912508889565455,11
5,52,6.0,3.01406895334e-06,3
6,59,7.0,0.00019492752537575526,143
36,63,243.0,0.0019944257828,1
10,54,11.0,7.4745790604e-06,1
31,65,132.37894736842105,0.006345487705792314,190
20,64,36.523809523809526,0.0028615880348361903,21
0,6,1.0,3.46944695195e-18,1
33,66,168.96774193548387,0.009390529689694359,62
1,57,2.0,5.8117854669026895e-05,717
4,56,5.0,3.426300922477333e-05,30
8,59,9.0,0.00018849773142947497,40
5,61,6.0,0.0005161202809795746,134
9,58,10.0,0.0001051005665962111,9
7,59,8.0,0.00019336160011374444,90
11,60,12.43089430894309,0.0003469676464241871,123
12,63,15.0,0.0014928372025533336,3
13,62,16.489795918367346,0.001008938179461074,245
14,61,18.385826771653544,0.0006415661460806297,127
18,64,29.333333333333332,0.002708356661786666,3
15,56,20.0,3.92207443645e-05,1
19,61,32.310344827586206,0.0006614335933879655,29
0,51,1.0,1.6532004460517603e-06,392
20,62,36.352112676056336,0.0011616935773737609,71
1,50,2.0,9.372723468750667e-07,30
58,69,2992.75,0.067180614737,4
21,63,40.89237668161435,0.001979539123876143,223
2,57,3.0,5.829414718958177e-05,274
0,41,1.0,4.172776485021666e-09,6
22,60,47.0,0.00032168003295549995,2
23,57,54.0,5.6796058524e-05,1
39,67,338.09302325581393,0.016658100984302333,43
10,56,11.0,3.095406617953334e-05,3
49,67,1040.4545454545455,0.021178580875372725,11
11,53,12.0,7.02367619634e-06,1
30,65,117.53521126760563,0.006118437344477464,142
13,55,16.0,1.31372101778e-05,1
27,65,84.19298245614036,0.005263477752482455,57
47,68,840.75,0.031060849400548082,52
2,48,3.0,2.9142747449449996e-07,2
35,66,210.25,0.010008960373402686,108
