# 66,71
# 1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,25,28,31,35,39,44,50,56,63,70,79,89,100,112,125,141,158,177,199,223,251,281,316,354,398,446,501,562,630,707,794,891,1000,1122,1258,1412,1584,1778,1995,2238,2511,2818,3162,3548,3981,4466,5011,5623,6309
# 1.0842021724900008e-19,1.9541361611946712e-19,3.52208124405312e-19,6.348102315514583e-19,1.1441644929765328e-18,2.062210597628211e-18,3.716871634345816e-18,6.699187154839319e-18,1.2074430583197526e-17,2.1762621425367746e-17,3.9224350004789894e-17,7.069688909373884e-17,1.274221275029953e-16,2.2966213627676307e-16,4.1393671470417936e-16,7.460681440914768e-16,1.3446926930023311e-15,2.4236371073258797e-15,4.368296829881578e-15,7.87329800169937e-15,1.419061566501744e-14,2.5576775184779484e-14,4.609887578489008e-14,8.308734519023101e-14,1.4975434461730274e-13,2.69913109877465e-13,4.864839619171041e-13,8.768253061513173e-13,1.5803658037926446e-12,2.8484078370864646e-12,5.1338919045860334e-12,9.253185497106791e-12,1.6677686915726326e-11,3.0059403969147406e-11,5.4178242555229296e-11,9.764937353335399e-11,1.7600054379276162e-10,3.172185370423016e-10,5.717459621133091e-10,1.030499189110382e-09,1.8573433817215075e-09,3.3476246018231428e-09,6.033666464164805e-09,1.0874914403771704e-08,1.9600646471221817e-08,3.532766583951899e-08,6.367361278114669e-08,1.1476356753997695e-07,2.0684669613097097e-07,3.7281479320860313e-07,6.719511243591092e-07,1.2111062161496208e-06,2.1828645174084916e-06,3.9343349392671165e-06,7.091137031589391e-06,1.2780870255582635e-05,2.3035888851442002e-05,4.151925217644697e-05,7.483315761803105e-05,0.00013487722407153248,0.00024309899718649554,0.00043815494305945394,0.0007897184124546361,0.0014233667355551293,0.0025654370367123973,0.0046238731206324265,0.008333941675335724,0.015020867146630965,0.027073197608818936,0.04879598638421849,0.0879485431167999
23,60,5
5,57,35
9,62,35
10,61,221
52,68,23
7,55,2
40,66,59
12,59,16
17,64,1
30,66,3
13,58,3
0,55,967
1,54,159
2,53,23
35,65,52
0,45,44
36,67,2
2,47,1
52,67,2
16,60,15
18,62,145
42,67,87
24,59,16
25,58,5
28,63,23
48,68,33
29,62,2
3,55,18
38,64,2
4,48,1
5,53,4
6,58,33
44,68,5
0,5,4
0,59,284
1,58,1268
57,69,9
34,65,91
3,60,455
8,58,14
5,62,1
9,59,41
6,61,206
7,56,4
11,61,363
53,69,3
13,63,8
44,67,54
14,60,20
19,58,1
0,50,333
20,61,8
1,51,43
23,64,132
2,56,133
22,63,169
23,62,23
9,60,158
6,52,2
10,59,26
30,64,49
1,52,75
2,51,13
0,47,141
53,66,1
1,46,5
3,48,1
26,65,37
16,62,270
17,63,107
18,60,5
42,65,3
27,64,172
0,0,1
24,61,5
47,66,1
26,63,37
27,62,8
37,66,108
3,57,96
8,53,1
50,68,35
5,51,1
35,63,2
6,56,6
10,55,1
7,61,241
31,64,39
14,59,1
33,65,116
1,56,429
53,68,20
4,57,47
8,60,186
5,60,444
9,57,1
10,62,57
7,58,19
53,67,3
64,69,1
13,61,159
15,59,6
19,60,6
0,52,474
46,68,35
20,63,204
1,49,20
21,62,50
2,54,52
0,42,9
22,61,4
1,43,1
39,66,93
36,64,3
49,66,1
12,55,1
2,49,5
32,65,125
3,50,1
25,65,10
30,62,1
4,53,2
31,63,4
17,61,46
55,67,2
0,2,1
24,63,98
25,62,6
21,64,43
45,67,60
26,61,11
0,56,1744
37,64,3
34,66,94
3,59,607
33,63,1
4,60,512
50,66,2
5,49,2
9,54,1
6,62,1
54,68,17
31,66,16
28,64,142
41,66,35
14,57,1
15,60,13
46,67,50
2,61,1
23,61,6
4,59,394
8,62,17
5,58,71
24,65,4
10,60,96
40,65,4
12,58,4
13,59,2
22,64,95
19,62,114
0,54,764
1,55,222
21,60,4
2,52,19
0,44,13
23,58,5
36,66,151
29,64,95
16,59,5
17,58,1
42,66,21
55,68,6
43,66,16
24,58,10
25,59,14
27,61,2
28,62,9
48,67,8
29,63,9
3,52,9
38,67,25
4,55,4
5,54,4
0,4,6
25,60,12
45,65,1
26,59,3
